A,B,CW,DQ,DR,DR51,DR52,DR53,TOTfreq
A3,B35,CW7,DQ5,DR16,DR51,NULL,NULL,6.01993e-05
A3,B37,CW6,DQ2,DR7,NULL,NULL,DR53,0.000220731
A3,B37,CW6,DQ5,DR10,NULL,NULL,NULL,0.000511694
A3,B37,CW6,DQ6,DR15,DR51,NULL,NULL,0.00031103
A3,B37,CW6,DQ8,DR4,NULL,NULL,DR53,0.000100332
A3,B37,CW6,DQ9,DR9,NULL,NULL,DR53,6.01993e-05
A3,B38,CW12,DQ5,DR1,NULL,NULL,NULL,6.01993e-05
A3,B38,CW12,DQ5,DR14,NULL,DR52,NULL,6.01993e-05
A3,B38,CW12,DQ6,DR13,NULL,DR52,NULL,0.001635413
A3,B38,CW12,DQ6,DR15,DR51,NULL,NULL,8.02657e-05
A3,B38,CW12,DQ7,DR11,NULL,DR52,NULL,0.000140465
A3,B38,CW12,DQ8,DR4,NULL,NULL,DR53,0.000110365
A3,B39,CW12,DQ2,DR17,NULL,DR52,NULL,6.01993e-05
A3,B39,CW12,DQ6,DR13,NULL,DR52,NULL,0.000120399
A3,B39,CW12,DQ6,DR15,DR51,NULL,NULL,0.000150498
A3,B39,CW12,DQ7,DR11,NULL,DR52,NULL,0.000190631
A3,B39,CW7,DQ4,DR8,NULL,NULL,DR53,0.000190631
A3,B39,CW7,DQ5,DR1,NULL,NULL,NULL,0.000170565
A3,B40,CW10,DQ2,DR17,NULL,DR52,NULL,8.02657e-05
A3,B40,CW10,DQ2,DR7,NULL,NULL,DR53,0.000120399
A3,B40,CW10,DQ5,DR1,NULL,NULL,NULL,0.000581926
A3,B40,CW10,DQ5,DR14,NULL,DR52,NULL,0.000200664
A3,B40,CW10,DQ6,DR13,NULL,DR52,NULL,0.000220731
A3,B40,CW10,DQ6,DR15,DR51,NULL,NULL,0.00084279
A3,B40,CW10,DQ7,DR11,NULL,DR52,NULL,0.000361196
A3,B40,CW10,DQ8,DR4,NULL,NULL,DR53,0.00162538
A3,B40,CW10,DQ9,DR7,NULL,NULL,DR53,7.02325e-05
A3,B40,CW15,DQ2,DR7,NULL,NULL,DR53,6.01993e-05
A3,B40,CW2,DQ6,DR13,NULL,DR52,NULL,0.000150498
A3,B40,CW2,DQ7,DR11,NULL,DR52,NULL,0.000170565
A3,B40,CW2,DQ7,DR17,NULL,DR52,NULL,6.01993e-05
A3,B40,CW2,DQ7,DR4,NULL,NULL,DR53,0.000140465
A3,B40,CW7,DQ8,DR4,NULL,NULL,DR53,2.00664e-05
A3,B41,CW17,DQ4,DR4,NULL,NULL,DR53,0.000130432
A3,B41,CW17,DQ4,DR8,NULL,NULL,DR53,6.01993e-05
A3,B41,CW17,DQ7,DR13,NULL,DR52,NULL,7.02325e-05
A3,B41,CW7,DQ4,DR4,NULL,NULL,DR53,6.01993e-05
A3,B44,CW10,DQ8,DR4,NULL,NULL,DR53,0.000130432
A3,B44,CW16,DQ2,DR17,NULL,DR52,NULL,6.01993e-05
A3,B44,CW16,DQ2,DR7,NULL,NULL,DR53,0.001023387
A3,B44,CW16,DQ5,DR14,NULL,DR52,NULL,6.01993e-05
A3,B44,CW16,DQ6,DR13,NULL,DR52,NULL,6.01993e-05
A3,B44,CW16,DQ8,DR4,NULL,NULL,DR53,0.00031103
A3,B44,CW2,DQ5,DR1,NULL,NULL,NULL,0.000170565
